"submitter","city","state","country","theme","ID","conference","day_prior"
133,"Sydney","NSW","Australia","Radiotherapy","EPSM-1240","EPSM",-44
86,"Perth","WA","Australia","Radiotherapy","EPSM-1239","EPSM",-81
61,"Perth","WA","Australia","Radiotherapy","EPSM-1238","EPSM",-81
130,"Brisbane","NSW","Australia","Health Physics","EPSM-1237","EPSM",-81
52,"Perth","WA","Australia","Radiotherapy","EPSM-1236","EPSM",-90
20,"Brisbane","QLD","Australia","Radiology Physics","EPSM-1235","EPSM",-90
152,"Perth","WA","Australia","Radiation Protection","EPSM-1234","EPSM",-90
136,"Perth","WA","Australia","Nuclear Medicine","EPSM-1233","EPSM",-93
159,"Perth","WA","Australia","Nuclear Medicine","EPSM-1232","EPSM",-93
6,"Perth","WA","Australia","Radiology Physics","EPSM-1231","EPSM",-93
67,"Einhoven","","Netherlands","Radiotherapy","EPSM-1229","EPSM",-93
132,"Perth","WA","Australia","Preclinical Imaging","EPSM-1228","EPSM",-95
88,"Perth","WA","Australia","Other","EPSM-1227","EPSM",-96
122,"Perth","WA","Australia","Radiotherapy","EPSM-1226","EPSM",-96
46,"Perth","WA","Australia","Radiation Protection","EPSM-1225","EPSM",-96
116,"Karachi","","Pakistan","Radiotherapy","EPSM-1223","EPSM",-97
107,"Perth","WA","Australia","Biomedical Engineering and Research","EPSM-1222","EPSM",-97
115,"Melbourne","VIC","Australia","Radiotherapy","EPSM-1221","EPSM",-97
115,"Melbourne","VIC","Australia","Radiotherapy","EPSM-1220","EPSM",-97
11,"Melbourne","VIC","Australia","Other","EPSM-1219","EPSM",-97
39,"Waikato","","New Zealand","Radiotherapy","EPSM-1217","EPSM",-99
121,"Auckland","","New Zealand","Biomedical Engineering and Research","EPSM-1216","EPSM",-100
138,"Melbourne","VIC","Australia","Radiotherapy","EPSM-1215","EPSM",-100
145,"Newcastle","NSW","Australia","Nuclear Medicine","EPSM-1214","EPSM",-100
145,"Newcastle","NSW","Australia","Nuclear Medicine","EPSM-1213","EPSM",-100
145,"Newcastle","NSW","Australia","Radiation Protection","EPSM-1212","EPSM",-100
4,"Bahawalpur","","Pakistan","Radiotherapy","EPSM-1211","EPSM",-100
75,"Melbourne","VIC","Australia","Other","EPSM-1210","EPSM",-100
169,"Sydney","NSW","Australia","Radiotherapy","EPSM-1209","EPSM",-100
74,"Perth","WA","Australia","Radiotherapy","EPSM-1208","EPSM",-100
89,"Perth","WA","Australia","Biomedical Engineering and Research","EPSM-1207","EPSM",-100
16,"Sydney","NSW","Australia","Nuclear Medicine","EPSM-1206","EPSM",-100
110,"Sydney","NSW","Australia","Radiotherapy","EPSM-1205","EPSM",-100
124,"Newcastle","NSW","Australia","Radiotherapy","EPSM-1204","EPSM",-100
109,"Adelaide","WA","Australia","Radiotherapy","EPSM-1203","EPSM",-100
45,"Sydney","NSW","Australia","Education","EPSM-1202","EPSM",-100
124,"Newcastle","NSW","Australia","Radiotherapy","EPSM-1201","EPSM",-100
133,"Perth","WA","Australia","Biomedical Engineering and Research","EPSM-1200","EPSM",-100
29,"Brisbane","QLD","Australia","Radiotherapy","EPSM-1199","EPSM",-100
133,"Perth","WA","Australia","Radiology Physics","EPSM-1198","EPSM",-100
135,"Perth","WA","Australia","Biomedical Engineering and Research","EPSM-1195","EPSM",-100
133,"Perth","WA","Australia","Biomedical Engineering and Research","EPSM-1194","EPSM",-100
19,"Perth","WA","Australia","Radiotherapy","EPSM-1193","EPSM",-100
111,"Wollongong","NSW","Australia","Radiotherapy","EPSM-1192","EPSM",-100
51,"Melbourne","VIC","Australia","Radiotherapy","EPSM-1191","EPSM",-100
139,"Sydney","NSW","Australia","Radiotherapy","EPSM-1190","EPSM",-100
47,"Perth","WA","Australia","Radiotherapy","EPSM-1188","EPSM",-100
72,"Sydney","NSW","Australia","Radiotherapy","EPSM-1187","EPSM",-100
72,"Sydney","NSW","Australia","Radiotherapy","EPSM-1186","EPSM",-100
72,"Sydney","NSW","Australia","Radiotherapy","EPSM-1185","EPSM",-100
72,"Sydney","NSW","Australia","Radiotherapy","EPSM-1184","EPSM",-100
72,"Sydney","NSW","Australia","Radiotherapy","EPSM-1183","EPSM",-100
31,"Melbourne","VIC","Australia","Biomedical Engineering and Research","EPSM-1182","EPSM",-100
24,"Newcastle","NSW","Australia","Radiotherapy","EPSM-1181","EPSM",-100
25,"Newcastle","NSW","Australia","Radiotherapy","EPSM-1180","EPSM",-100
73,"Sydney","NSW","Australia","Radiotherapy","EPSM-1179","EPSM",-100
24,"Newcastle","NSW","Australia","Radiotherapy","EPSM-1178","EPSM",-100
25,"Newcastle","NSW","Australia","Radiotherapy","EPSM-1177","EPSM",-100
50,"Wollongong","NSW","Australia","Radiotherapy","EPSM-1175","EPSM",-100
59,"Auckland","","New Zealand","Radiotherapy","EPSM-1174","EPSM",-100
151,"Wollongong","NSW","Australia","Radiotherapy","EPSM-1173","EPSM",-100
149,"Sydney","NSW","Australia","Radiotherapy","EPSM-1172","EPSM",-100
35,"Melbourne","VIC","Australia","Radiotherapy","EPSM-1171","EPSM",-100
87,"Sydney","NSW","Australia","Radiotherapy","EPSM-1170","EPSM",-100
148,"Sydney","NSW","Australia","Radiotherapy","EPSM-1169","EPSM",-100
44,"Melbourne","VIC","Australia","Radiotherapy","EPSM-1168","EPSM",-100
77,"Newcastle","NSW","Australia","Other","EPSM-1167","EPSM",-100
81,"Melbourne","VIC","Australia","Radiotherapy","EPSM-1166","EPSM",-100
140,"Wollongong","NSW","Australia","Radiotherapy","EPSM-1165","EPSM",-100
29,"Brisbane","QLD","Australia","Other","EPSM-1164","EPSM",-100
79,"Newcastle","NSW","Australia","Radiotherapy","EPSM-1163","EPSM",-100
70,"Brisbane","QLD","Australia","Radiotherapy","EPSM-1162","EPSM",-100
125,"Sydney","NSW","Australia","Radiotherapy","EPSM-1161","EPSM",-100
28,"Brisbane","QLD","Australia","Radiotherapy","EPSM-1160","EPSM",-100
21,"Sydney","NSW","Australia","Radiotherapy","EPSM-1159","EPSM",-100
142,"Sydney","NSW","Australia","Radiotherapy","EPSM-1158","EPSM",-100
150,"Sydney","NSW","Australia","Radiotherapy","EPSM-1157","EPSM",-100
137,"Adelaide","SA","Australia","Other","EPSM-1156","EPSM",-100
114,"Wollongong","NSW","Australia","Radiotherapy","EPSM-1154","EPSM",-100
82,"Gosford","NSW","Australia","Radiotherapy","EPSM-1153","EPSM",-100
95,"Melbourne","VIC","Australia","Radiology Physics","EPSM-1152","EPSM",-100
96,"Melbourne","VIC","Australia","Radiotherapy","EPSM-1151","EPSM",-100
164,"Sydney","NSW","Australia","Radiotherapy","EPSM-1150","EPSM",-100
