"","submitter","city","state","country","code","theme","sub_theme","ID","conference","day_prior"
"1",21,"Biggera Waters","QLD","Australia","4216","13. ROMP","New technologies and techniques",5,"EPSM",196
"2",32,"Gosford","NSW","Australia","2250","13. ROMP","",6,"EPSM",185
"3",36,"Melbourne","VIC","Australia","3001","13. ROMP","Treatment planning and modelling",7,"EPSM",182
"4",41,"Melbourne","VIC","Australia","3021","13. ROMP","Stereotactic radiotherapy & radiosurgery",9,"EPSM",162
"5",22,"Perth","WA","Australia","6060","13. ROMP","",10,"EPSM",162
"6",22,"Perth","WA","Australia","6060","13. ROMP","",11,"EPSM",162
"7",42,"Rockingham","WA","Australia","6168","13. ROMP","Stereotactic radiotherapy & radiosurgery",12,"EPSM",159
"8",55,"Brisbane","QLD","Australia","4035","15. Radiology Physics","",15,"EPSM",156
"9",55,"Brisbane","QLD","Australia","4035","17. Other","",16,"EPSM",155
"10",58,"Vienna","","Austria","1220","06. Health Physics","",17,"EPSM",155
"11",57,"Port Macquarie","NSW","Australia","2444","13. ROMP","Treatment planning and modelling",18,"EPSM",155
"12",84,"Perth","WA","Australia","6009","09. Pharmaceutical Science","",19,"EPSM",154
"13",87,"Melbourne","VIC","Australia","3163","14. Radiation Protection","",20,"EPSM",154
"14",88,"Brisbane","QLD","Australia","4104","13. ROMP","New technologies and techniques",21,"EPSM",154
"15",85,"Dhaka","","Bangladesh","1212","13. ROMP","Stereotactic radiotherapy & radiosurgery",23,"EPSM",154
"16",90,"Brisbane","QLD","Australia","4000","15. Radiology Physics","",25,"EPSM",153
"17",90,"Brisbane","QLD","Australia","4000","15. Radiology Physics","",26,"EPSM",153
"18",90,"Brisbane","QLD","Australia","4000","15. Radiology Physics","",27,"EPSM",153
"19",48,"Melbourne","VIC","Australia","3141","13. ROMP","Quality assurance",28,"EPSM",152
"20",93,"Brisbane","QLD","Australia","4102","13. ROMP","",30,"EPSM",152
"21",18,"Perth","WA","Australia","6009","13. ROMP","Treatment planning and modelling",33,"EPSM",151
"22",99,"Coffs Harbour","NSW","Australia","2450","13. ROMP","Quality assurance",34,"EPSM",151
"23",93,"Brisbane","QLD","Australia","4102","13. ROMP","",35,"EPSM",151
"24",18,"Perth","WA","Australia","6009","14. Radiation Protection","",36,"EPSM",151
"25",47,"Wollongong","NSW","Australia","2518","13. ROMP","New technologies and techniques",37,"EPSM",151
"26",105,"Cranley","QLD","Australia","4350","13. ROMP","",38,"EPSM",151
"27",107,"Penrith","NSW","Australia","2751","13. ROMP","Treatment planning and modelling",39,"EPSM",151
"28",108,"Liverpool","NSW","Australia","BC1871","13. ROMP","Quality assurance",40,"EPSM",151
"29",100,"Woolloongabba","QLD","Australia","4120","13. ROMP","Treatment planning and modelling",41,"EPSM",151
"30",100,"Woolloongabba","QLD","Australia","4120","13. ROMP","Dosimetry",42,"EPSM",151
"31",111,"Nsw","NSW","Australia","2217","13. ROMP","Brachytherapy",43,"EPSM",151
